Insult,Date,Comment,Usage,
0,,"""THE DRUDGE REPORT\\n\\n\\n\\nYou won't see this story on foxfag forum because they suck bIacks and gay 0bama all the way to the crack.\\n\\n\\n\\n\\n\\n\\n\\nOn Tuesday Rep. Darrell Issa, chairman of the House committee on \\nOversight and Government Reform, took a major step toward holding \\nAttorney General Eric Holder in contempt of Congress for his failure to \\nprovide subpoenaed documents and other information about Operation Fast \\nand Furious.\\n\\n\\n\\nIn a Jan. 31 letter, Issa had threatened Holder with such a move if he \\nfailed to provide all the subpoenaed documents relating to the Fast and \\nFurious gunwalking scandal by Feb. 9. That deadline has come and gone, \\nand Holder\\xe2\\x80\\x99s Department of Justice still hasn\\xe2\\x80\\x99t provided most of those \\ndocuments. Issa\\xe2\\x80\\x99s subpoena dates back to Oct. 12, 2011.\\n\\n\\n\\nOn Tuesday in a seven-page letter, Issa revealed that Deputy Attorney \\nGeneral James Cole begged Congress to extend the Feb. 9 deadline. Issa \\nwrote that the request was \\xe2\\x80\\x9cironic\\xe2\\x80\\x9d and \\xe2\\x80\\x9cignores the reality that the \\nDepartment has unreasonably delayed producing these documents to the \\nCommittee.\\xe2\\x80\\x9d\\n\\n\\n\\n\\xe2\\x80\\x9cOn its face, the requested extension demonstrates a lack of good \\nfaith,\\xe2\\x80\\x9d Issa wrote to Holder. \\xe2\\x80\\x9cWith one exception, the Department has \\nonly produced documents responsive to the subpoena on the eve of \\ncongressional hearings in which senior Department officials testified. \\nThe Department appears to be more concerned with protecting its image \\nthrough spin control than actually cooperating with Congress.\\xe2\\x80\\x9d\\n\\n\\n\\n\\xe2\\x80\\x9cWe cannot wait any longer for the Department\\xe2\\x80\\x99s cooperation,\\xe2\\x80\\x9d Issa \\ncontinued. \\xe2\\x80\\x9cAs such, please specify a date by which you expect the \\nDepartment to produce all documents responsive to the subpoena. In \\naddition, please specify a Department representative who will interface \\nwith the Committee for production purposes.\\xe2\\x80\\x9d\\n\\n\\n\\nIssa added that whoever Holder designates as the go-to DOJ official for \\ndelivering subpoenaed documents \\xe2\\x80\\x9cshould also serve as the conduit for \\ndealing with the contempt proceedings, should the Department continue to\\n ignore the Committee\\xe2\\x80\\x99s subpoena.\\xe2\\x80\\x9d (RELATED: Full coverage of Eric \\nHolder)\\n\\n\\n\\nThe California Republican slammed Holder, too, for claiming the \\ncongressional investigation into Fast and Furious was a political game \\nfor Republicans.\\n\\n\\n\\nRead more: http://dailycaller.com/2012/02/14/issa-takes-step-toward-holding-holder-in-contempt-of-congress/#ixzz1mQNF3g00\\n\\n\\n\\n""",PublicTest,
0,20120618222256Z,"""@ian21\xa0""Roger Clemens is the fucking man, and never did any fucking steroids because he is fucking awesome. Did you all misremember Roger's incredibleness?"" - Roger Clemens""",PublicTest,
1,20120618213617Z,"""Agree with Alan you are an extremest idiot.   You are not American, we native americans are, you are an alien""",PublicTest,
0,,"""Really?\\n\\nI see Marc Lamont Hill on various programs quite often, as is Al Sharpton, and Michael Moore even got his fat-ass handed to him by Bill O'Reilly.  \\n\\nHow can you talk about a subject you obviously know nothing about?""",PrivateTest,
0,20120620003825Z,"""Really suck isn't the word, when many of our nuclear power plants start melting down, it will literally be hell on earth in the US and we have no one else to blame but our own CORRUPT GOVERNMENT!""",PrivateTest,
0,,"""...after a couple guys like him rape him first....""",PrivateTest,
0,20120529201500Z,"""Matthews mentored Perry at USC.  Bodes well...""",PrivateTest,
0,20120619145613Z,"""How about we accept facts and patiently wait for you to back up your claim.""",PrivateTest,
1,20120609165037Z,"""To engage in an intelligent debate with you is like debating to a retarded person.  It's useless.  It looks like you're bent on disregarding the efforts of the government.""",PublicTest,
0,20120612145537Z,"""Same reason no one cared Obama did cocaine, which is a felony as well.""",PublicTest,
